EMPID,EducationField,JobRole,MonthlyRate,YearsAtCompany
E00001,Life Sciences,Sales Executive,19479,6
E00002,Life Sciences,Research Scientist,24907,10
E00003,Other,Laboratory Technician,2396,0
E00004,Life Sciences,Research Scientist,23159,8
E00005,Medical,Laboratory Technician,16632,2
E00006,Life Sciences,Laboratory Technician,11864,7
E00007,Medical,Laboratory Technician,9964,1
E00008,Life Sciences,Laboratory Technician,13335,1
E00009,Life Sciences,Manufacturing Director,8787,9
E00010,Medical,Healthcare Representative,16577,7
E00011,Medical,Laboratory Technician,16479,5
E00012,Life Sciences,Laboratory Technician,12682,9
E00013,Life Sciences,Research Scientist,15170,5
E00014,Medical,Laboratory Technician,8758,2
E00015,Life Sciences,Laboratory Technician,12947,4
E00016,Life Sciences,Manufacturing Director,10195,10
E00017,Life Sciences,Research Scientist,15053,6
E00018,Medical,Laboratory Technician,7324,1
E00019,Life Sciences,Manager,22021,25
E00020,Life Sciences,Research Scientist,4306,3
E00021,Other,Manufacturing Director,8232,4
E00022,Life Sciences,Sales Representative,6986,5
E00023,Life Sciences,Research Director,21293,12
E00024,Life Sciences,Research Scientist,19281,0
E00025,Medical,Research Scientist,17102,4
E00026,Other,Manager,10735,14
E00027,Life Sciences,Research Scientist,4681,10
E00028,Marketing,Sales Executive,21173,9
E00029,Medical,Healthcare Representative,2094,22
E00030,Marketing,Manager,22822,2
E00031,Medical,Laboratory Technician,6670,1
E00032,Other,Healthcare Representative,19121,4
E00033,Medical,Laboratory Technician,16117,10
E00034,Technical Degree,Sales Representative,3335,1
E00035,Medical,Research Scientist,3020,2
E00036,Medical,Research Scientist,21923,5
E00037,Marketing,Sales Representative,3810,3
E00038,Marketing,Sales Representative,9687,2
E00039,Life Sciences,Research Scientist,13072,1
E00040,Life Sciences,Sales Executive,3193,5
E00041,Other,Laboratory Technician,10910,1
E00042,Life Sciences,Laboratory Technician,19715,1
E00043,Life Sciences,Laboratory Technician,10558,1
E00044,Life Sciences,Sales Executive,2975,9
E00045,Medical,Laboratory Technician,10781,12
E00046,Technical Degree,Research Director,16280,22
E00047,Marketing,Sales Executive,10034,9
E00048,Life Sciences,Research Scientist,10227,1
E00049,Marketing,Sales Executive,20445,9
E00050,Life Sciences,Laboratory Technician,4892,1
E00051,Life Sciences,Laboratory Technician,19294,1
E00052,Technical Degree,Laboratory Technician,11179,2
E00053,Marketing,Sales Executive,4009,4
E00054,Medical,Healthcare Representative,8302,4
E00055,Marketing,Sales Executive,21436,2
E00056,Life Sciences,Research Director,15146,15
E00057,Life Sciences,Sales Executive,11031,9
